Date/Time (UTC),RAAN,Inclination,Arg of Perigee,SMA,Eccentricity
9/25/2021 19:51,36.2046,90.4171,60.6066,11858.601,0.62144
9/25/2021 19:51,36.2046,90.4171,60.6066,11858.601,0.62144
9/28/2021 9:08,36.2138,90.4161,59.7523,11858.606,0.621518
9/28/2021 9:08,36.2138,90.4161,59.7523,11858.606,0.621518
9/30/2021 8:47,36.2207,90.4152,59.0881,11858.607,0.6215788
10/1/2021 18:50,36.2257,90.4145,58.6137,11858.607,0.6216253
10/1/2021 18:50,36.2257,90.4145,58.6137,11858.607,0.6216253
10/2/2021 15:15,36.2288,90.414,58.3289,11858.608,0.6216534
10/3/2021 18:29,36.2327,90.4133,57.9496,11858.609,0.6216928
10/4/2021 8:06,36.2346,90.4129,57.7598,11858.609,0.6217116
10/4/2021 14:55,36.2356,90.4128,57.6649,11858.609,0.6217211
10/6/2021 7:46,36.2412,90.4115,57.0956,11858.61,0.6217797
10/6/2021 14:35,36.2421,90.4113,57.0006,11858.61,0.6217899
10/6/2021 14:35,36.2421,90.4113,57.0006,11858.61,0.6217899
10/6/2021 21:23,36.2431,90.411,56.9059,11858.61,0.6217997
10/7/2021 11:00,36.2449,90.4106,56.7161,11858.61,0.6218197
10/8/2021 14:14,36.2487,90.4098,56.3362,11858.611,0.6218585
10/10/2021 7:05,36.2545,90.4085,55.7665,11858.612,0.621918
10/10/2021 13:54,36.2555,90.4083,55.6717,11858.612,0.6219289
10/11/2021 3:31,36.2574,90.4078,55.4818,11858.612,0.6219498
10/12/2021 13:33,36.2625,90.4067,55.0069,11858.612,0.6219995
10/12/2021 13:33,36.2625,90.4067,55.0069,11858.612,0.6219995
10/14/2021 13:13,36.2694,90.4052,54.3419,11858.61,0.6220679
10/15/2021 9:39,36.2724,90.4044,54.057,11858.608,0.6220956
10/15/2021 9:39,36.2724,90.4044,54.057,11858.608,0.6220956
10/16/2021 12:53,36.2764,90.4036,53.6769,11858.607,0.6221316
10/16/2021 19:41,36.2775,90.4034,53.582,11858.606,0.622141
10/18/2021 5:44,36.2827,90.4023,53.1068,11858.604,0.6221826
10/18/2021 12:32,36.2837,90.4021,53.0117,11858.603,0.6221909
10/18/2021 19:21,36.2848,90.4019,52.9166,11858.603,0.6221993
10/20/2021 5:23,36.2901,90.401,52.4411,11858.602,0.6222389
10/20/2021 19:00,36.2923,90.4006,52.2509,11858.602,0.6222548
10/20/2021 19:00,36.2923,90.4006,52.2509,11858.602,0.6222548
10/22/2021 5:03,36.2977,90.3995,51.7753,11858.604,0.622293
10/24/2021 4:43,36.3053,90.3981,51.1091,11858.61,0.6223444
10/24/2021 4:43,36.3053,90.3981,51.1091,11858.61,0.6223444
10/24/2021 11:31,36.3065,90.3978,51.0137,11858.61,0.6223511
10/26/2021 4:22,36.3129,90.3966,50.4426,11858.616,0.6223969
10/27/2021 7:36,36.3173,90.3958,50.0618,11858.62,0.6224279
10/27/2021 7:36,36.3173,90.3958,50.0618,11858.62,0.6224279
10/29/2021 7:16,36.325,90.3945,49.3955,11858.625,0.622488
10/31/2021 6:56,36.3326,90.3929,48.7293,11858.629,0.6225492
10/31/2021 6:56,36.3326,90.3929,48.7293,11858.629,0.6225492
11/2/2021 6:35,36.3399,90.3911,48.0632,11858.627,0.6226108
11/4/2021 13:03,36.3483,90.389,47.3011,11858.609,0.6226807
11/4/2021 13:03,36.3483,90.389,47.3011,11858.609,0.6226807
11/6/2021 12:43,36.3556,90.3871,46.6344,11858.619,0.6227469
