"Date/Time (UTC)","RAAN","Inclination","Arg of Perigee","SMA","Eccentricity"
"2021-09-26 03:43:41",262.6695,5.9965,12.8706,640.707,0.0008564
"2021-09-26 08:35:31",261.2253,5.9965,15.7289,640.706,0.0008542
"2021-09-26 08:35:31",261.2253,5.9965,15.7289,640.706,0.0008542
"2021-09-26 23:11:00",256.8898,5.9965,24.5914,640.706,0.000849
"2021-09-27 08:54:40",254.0004,5.9964,30.3545,640.705,0.0008445
"2021-09-27 08:54:40",254.0004,5.9964,30.3545,640.705,0.0008445
"2021-09-28 09:13:48",246.7755,5.9963,45.2165,640.703,0.0008338
"2021-09-28 09:13:48",246.7755,5.9963,45.2165,640.703,0.0008338
"2021-09-29 03:03:50",241.4769,5.9963,56.3502,640.702,0.0008278
"2021-09-29 12:47:30",238.5867,5.9963,62.3548,640.701,0.0008272
"2021-09-29 12:47:30",238.5867,5.9963,62.3548,640.701,0.0008272
"2021-09-30 06:37:32",233.2892,5.9962,73.5411,640.7,0.0008233
"2021-09-30 06:37:32",233.2892,5.9962,73.5411,640.7,0.0008233
"2021-10-01 08:33:57",225.5823,5.9961,89.7971,640.697,0.0008183
"2021-10-01 11:48:30",224.6184,5.9961,91.8424,640.697,0.0008189
"2021-10-01 15:03:03",223.6563,5.9961,93.8197,640.697,0.0008193
"2021-10-01 15:03:03",223.6563,5.9961,93.8197,640.697,0.0008193
"2021-10-02 02:23:59",220.2839,5.9961,101.0976,640.696,0.00082
"2021-10-02 02:23:59",220.2839,5.9961,101.0976,640.696,0.00082
"2021-10-02 04:01:15",219.8116,5.9958,102.2044,640.697,0.0008127
"2021-10-02 12:07:38",217.4034,5.9958,107.1187,640.696,0.0008151
"2021-10-02 12:07:38",217.4034,5.9958,107.1187,640.696,0.0008151
"2021-10-03 01:05:50",213.5502,5.9957,115.3196,640.695,0.0008187
"2021-10-03 01:05:50",213.5502,5.9957,115.3196,640.695,0.0008187
